MEREK,BRAND,TIPE HOSE,Working Pressure Bar,Working Pressure Psi,Hose O.D. (mm),Hose O.D. (in),Hose I.D. (mm),Hose I.D. (in),Temperature Range (°C),Bend Radius (mm),tipe kawat,Standard,Inch,DN,Min Burst Pressure bar,Min Bar Pressure psi,Type Bend
ALFAGOMMA,ALFAGOMMA GROUP,XT-16,300.0,4351.0,27.4,1.079,22.7,0.894,-40 to 120,92.4,1 Wire Braid,SAE 100 R12,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,XT-24,275.0,3989.0,45.1,1.776,38.8,1.528,-40°C to 125°C,115.8,4S - 4 Wire Spiral,SAE 100 R13,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,XT-24,250.0,3626.0,41.7,1.642,36.2,1.425,-50 to 150,176.9,1 Wire Braid,SAE 100 R13,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,XT-6,225.0,3263.0,18.3,0.72,9.5,0.374,-40 to 150,165.4,4S - 4 Wire Spiral,ISO 18752 A/D,,,,,
BRIDGESTONE,Bridgestone Corporation,1SN-10,180.0,2611.0,22.6,0.89,15.3,0.602,-30 to 125,165.7,2 Wire Braid,ISO 18752 A/D,,,,,
BRIDGESTONE,Bridgestone Corporation,1SN-12,450.0,6527.0,23.8,0.937,16.9,0.665,-30 to 150,235.3,4S - 4 Wire Spiral,EN 856 4SH,,,,,
BRIDGESTONE,Bridgestone Corporation,1SN-20,300.0,4351.0,37.2,1.465,29.9,1.177,-30 to 120,180.3,2 Wire Braid,EN 853 2SN,,,,,
BRIDGESTONE,Bridgestone Corporation,1SN-24,215.0,3118.0,46.4,1.827,37.9,1.492,-30 to 125,286.0,1 Wire Braid,ISO 18752 A/D,,,,,
BRIDGESTONE,Bridgestone Corporation,1SN-24,320.0,4641.0,41.9,1.65,34.5,1.358,-50 to 150,298.5,2 Wire Braid,ISO 18752 A/D,,,,,
BRIDGESTONE,Bridgestone Corporation,1SN-4,275.0,3989.0,11.9,0.469,6.1,0.24,-30 to 125,154.6,6S - 6 Wire Spiral,SAE 100 R2,,,,,
BRIDGESTONE,Bridgestone Corporation,1SN-6,350.0,5076.0,18.1,0.713,8.5,0.335,-50 to 150,109.5,4S - 4 Wire Spiral,ISO 18752 A/D,,,,,
BRIDGESTONE,Bridgestone Corporation,2SN-10,215.0,3118.0,24.6,0.969,14.6,0.575,-30 to 150,200.4,4S - 4 Wire Spiral,SAE 100 R2,,,,,
BRIDGESTONE,Bridgestone Corporation,2SN-4,450.0,6527.0,13.1,0.516,5.9,0.232,-40°C to 125°C,59.6,2 Wire Braid,EN 853 2SN,,,,,
BRIDGESTONE,Bridgestone Corporation,4SH-10,225.0,3263.0,21.6,0.85,16.4,0.646,-40 to 150,270.7,6S - 6 Wire Spiral,ISO 18752 A/D,,,,,
BRIDGESTONE,Bridgestone Corporation,4SH-10,350.0,5076.0,20.4,0.803,16.3,0.642,-40°C to 125°C,292.3,1 Wire Braid,EN 853 2SN,,,,,
BRIDGESTONE,Bridgestone Corporation,4SH-12,420.0,6092.0,21.8,0.858,17.5,0.689,-50 to 150,194.0,1 Wire Braid,SAE 100 R1,,,,,
BRIDGESTONE,Bridgestone Corporation,4SH-4,200.0,2901.0,11.3,0.445,6.5,0.256,-40 to 120,222.7,6S - 6 Wire Spiral,EN 856 4SH,,,,,
BRIDGESTONE,Bridgestone Corporation,4SH-4,380.0,5511.0,15.9,0.626,6,0.236,-40 to 120,245.1,2 Wire Braid,SAE 100 R15,,,,,
BRIDGESTONE,Bridgestone Corporation,4SP-20,200.0,2901.0,39.9,1.571,33.7,1.327,-50 to 120,53.4,2 Wire Braid,EN 853 1SN,,,,,
BRIDGESTONE,Bridgestone Corporation,4SP-24,160.0,2321.0,39.6,1.559,34.3,1.35,-50 to 100,289.7,1 Wire Braid,SAE 100 R1,,,,,
BRIDGESTONE,Bridgestone Corporation,4SP-32,500.0,7252.0,50.2,1.976,45.6,1.795,-50 to 125,138.5,6S - 6 Wire Spiral,SAE 100 R2,,,,,
BRIDGESTONE,Bridgestone Corporation,4SP-6,250.0,3626.0,12.8,0.504,8.6,0.339,-50 to 150,65.5,4S - 4 Wire Spiral,SAE 100 R12,,,,,
BRIDGESTONE,Bridgestone Corporation,4SP-8,500.0,7252.0,21.2,0.835,13.3,0.524,-30 to 120,80.3,1 Wire Braid,EN 856 4SP,,,,,
BRIDGESTONE,Bridgestone Corporation,GH-20,160.0,2321.0,38.6,1.52,33,1.299,-30 to 150,102.4,4S - 4 Wire Spiral,EN 856 4SP,,,,,
BRIDGESTONE,Bridgestone Corporation,HP-12,350.0,5076.0,28.4,1.118,19.4,0.764,-30 to 100,215.3,6S - 6 Wire Spiral,EN 856 4SH,,,,,
BRIDGESTONE,Bridgestone Corporation,HP-20,275.0,3989.0,42.2,1.661,33.4,1.315,-50 to 150,112.0,4S - 4 Wire Spiral,ISO 18752 A/D,,,,,
BRIDGESTONE,Bridgestone Corporation,HP-4,450.0,6527.0,14.1,0.555,6.1,0.24,-40 to 120,74.9,1 Wire Braid,SAE 100 R1,,,,,
BRIDGESTONE,Bridgestone Corporation,HP-6,215.0,3118.0,14.3,0.563,9.2,0.362,-50 to 125,140.9,4S - 4 Wire Spiral,SAE 100 R1,,,,,
BRIDGESTONE,Bridgestone Corporation,M2T-10,420.0,6092.0,22.5,0.886,16.8,0.661,-50 to 100,174.0,2 Wire Braid,EN 856 4SP,,,,,
BRIDGESTONE,Bridgestone Corporation,M2T-16,450.0,6527.0,32.2,1.268,24.8,0.976,-40 to 150,155.7,6S - 6 Wire Spiral,ISO 18752 A/D,,,,,
BRIDGESTONE,Bridgestone Corporation,M2T-20,200.0,2901.0,43.0,1.693,33.5,1.319,-30 to 120,197.4,1 Wire Braid,SAE 100 R2,,,,,
BRIDGESTONE,Bridgestone Corporation,M2T-24,250.0,3626.0,44.5,1.752,36.4,1.433,-50 to 120,254.7,2 Wire Braid,EN 856 4SH,,,,,
BRIDGESTONE,Bridgestone Corporation,M2T-4,200.0,2901.0,10.7,0.421,5.9,0.232,-30 to 125,184.3,1 Wire Braid,SAE 100 R2,,,,,
BRIDGESTONE,Bridgestone Corporation,R1-10,420.0,6092.0,23.8,0.937,15.7,0.618,-40°C to 125°C,181.5,6S - 6 Wire Spiral,SAE 100 R1,,,,,
BRIDGESTONE,Bridgestone Corporation,R1-16,160.0,2321.0,29.9,1.177,24.5,0.965,-40 to 120,91.3,2 Wire Braid,EN 856 4SP,,,,,
BRIDGESTONE,Bridgestone Corporation,R1-16,275.0,3989.0,33.0,1.299,23.6,0.929,-30 to 150,70.0,2 Wire Braid,EN 853 2SN,,,,,
BRIDGESTONE,Bridgestone Corporation,R1-24,450.0,6527.0,45.7,1.799,37.8,1.488,-40 to 150,250.9,4S - 4 Wire Spiral,SAE 100 R1,,,,,
BRIDGESTONE,Bridgestone Corporation,R1-32,225.0,3263.0,52.6,2.071,46.9,1.846,-50 to 125,215.9,6S - 6 Wire Spiral,EN 856 4SH,,,,,
BRIDGESTONE,Bridgestone Corporation,R2-20,180.0,2611.0,40.0,1.575,32.8,1.291,-30 to 125,291.3,1 Wire Braid,EN 853 1SN,,,,,
BRIDGESTONE,Bridgestone Corporation,R2-24,350.0,5076.0,39.7,1.563,34.2,1.346,-50 to 125,253.5,6S - 6 Wire Spiral,SAE 100 R15,,,,,
BRIDGESTONE,Bridgestone Corporation,R2-6,275.0,3989.0,14.5,0.571,9.4,0.37,-30 to 150,168.9,1 Wire Braid,SAE 100 R2,,,,,
BRIDGESTONE,Bridgestone Corporation,R2-8,160.0,2321.0,20.8,0.819,11.7,0.461,-30 to 120,238.5,2 Wire Braid,EN 853 1SN,,,,,
BRIDGESTONE,Bridgestone Corporation,R2-8,300.0,4351.0,19.5,0.768,12.6,0.496,-50 to 120,106.4,1 Wire Braid,EN 856 4SH,,,,,
BRIDGESTONE,Bridgestone Corporation,XT-24,380.0,5511.0,42.9,1.689,36.2,1.425,-30 to 100,224.0,2 Wire Braid,SAE 100 R2,,,,,
BRIDGESTONE,Bridgestone Corporation,XT-6,225.0,3263.0,14.8,0.583,8.7,0.343,-30 to 150,199.5,6S - 6 Wire Spiral,ISO 18752 A/D,,,,,
BRIDGESTONE,Bridgestone Corporation,XT-8,200.0,2901.0,21.4,0.843,12.8,0.504,-50 to 120,292.8,2 Wire Braid,SAE 100 R2,,,,,
CENTAUR,DANFOSS,CH110-04,225.0,3250.0,0.53,225.0,6.4,0.25,,,,,,,,,
CENTAUR,DANFOSS,CH110-05,215.0,3125.0,0.59,215.0,7.9,0.31,,,,,,,,,
CENTAUR,DANFOSS,CH110-06,180.0,2600.0,0.7,180.0,9.5,0.38,,,,,,,,,
CENTAUR,DANFOSS,CH110-08,160.0,,0.83,160.0,12.7,0.5,,,,,,,,,
CENTAUR,DANFOSS,CH110-10,130.0,,0.95,130.0,15.9,0.62,,,,,,,,,
CENTAUR,DANFOSS,CH110-12,105.0,,1.12,105.0,19,0.75,,,,,,,,,
CENTAUR,DANFOSS,CH110-16,88.0,,1.43,88.0,25.4,1,,,,,,,,,
CENTAUR,DANFOSS,CH110-20,63.0,,1.7,63.0,31.8,1.25,,,,,,,,,
CENTAUR,DANFOSS,CH110-24,50.0,,1.97,50.0,38.1,1.5,,,,,,,,,
CENTAUR,DANFOSS,CH110-32,2.54,,2.0,64.4,51,50.8,,,,,,,,,
CENTAUR,DANFOSS,CH210-04,400.0,5800.0,15.0,0.59,6.4,0.25,,,,,,,,,
CENTAUR,DANFOSS,CH210-05,350.0,5100.0,16.4,0.65,7.9,0.31,,,,,,,,,
CENTAUR,DANFOSS,CH210-06,330.0,4800.0,19.3,0.76,9.5,0.38,,,,,,,,,
CENTAUR,DANFOSS,CH210-08,275.0,4000.0,22.3,0.88,12.7,0.5,,,,,,,,,
CENTAUR,DANFOSS,CH210-10,250.0,3650.0,25.6,1.01,15.9,0.62,,,,,,,,,
CENTAUR,DANFOSS,CH210-12,215.0,3125.0,29.8,1.17,19,0.75,,,,,,,,,
CENTAUR,DANFOSS,CH210-16,165.0,2400.0,38.2,1.5,25.4,1,,,,,,,,,
CENTAUR,DANFOSS,CH210-20,125.0,1800.0,47.1,1.85,31.8,1.25,,,,,,,,,
CENTAUR,DANFOSS,CH210-24,90.0,1300.0,53.8,2.12,38.1,1.5,,,,,,,,,
CONTITECH,CONTINENTAL AG,1SN-12,160.0,2321.0,27.0,1.063,19.7,0.776,-50 to 125,185.3,4S - 4 Wire Spiral,EN 856 4SP,,,,,
CONTITECH,CONTINENTAL AG,1SN-12,160.0,2321.0,29.2,1.15,20,0.787,-50 to 100,278.9,2 Wire Braid,EN 856 4SH,,,,,
CONTITECH,CONTINENTAL AG,1SN-16,180.0,2611.0,33.5,1.319,27.1,1.067,-50 to 125,137.8,6S - 6 Wire Spiral,SAE 100 R1,,,,,
CONTITECH,CONTINENTAL AG,1SN-16,215.0,3118.0,31.3,1.232,25.7,1.012,-40°C to 100°C,97.6,6S - 6 Wire Spiral,SAE 100 R12,,,,,
CONTITECH,CONTINENTAL AG,1SN-20,300.0,4351.0,35.2,1.386,31.1,1.224,-30 to 100,297.7,6S - 6 Wire Spiral,EN 856 4SH,,,,,
CONTITECH,CONTINENTAL AG,1SN-20,225.0,3263.0,37.5,1.476,28.5,1.122,-30 to 120,268.2,4S - 4 Wire Spiral,ISO 18752 A/D,,,,,
CONTITECH,CONTINENTAL AG,1SN-24,275.0,3989.0,44.5,1.752,37.6,1.48,-40°C to 100°C,251.5,6S - 6 Wire Spiral,SAE 100 R13,,,,,
CONTITECH,CONTINENTAL AG,1SN-32,160.0,2321.0,60.9,2.398,53.5,2.106,-50 to 100,143.3,2 Wire Braid,EN 856 4SH,,,,,
CONTITECH,CONTINENTAL AG,1SN-4,160.0,2321.0,15.1,0.594,6.6,0.26,-50 to 100,240.0,1 Wire Braid,EN 853 1SN,,,,,
CONTITECH,CONTINENTAL AG,2SN-24,300.0,4351.0,41.2,1.622,37.1,1.461,-30 to 100,66.6,2 Wire Braid,SAE 100 R1,,,,,
CONTITECH,CONTINENTAL AG,4SH-16,350.0,5076.0,29.3,1.154,24,0.945,-30 to 120,126.5,6S - 6 Wire Spiral,SAE 100 R15,,,,,
CONTITECH,CONTINENTAL AG,4SH-16,350.0,5076.0,29.2,1.15,24.7,0.972,-50 to 100,179.8,1 Wire Braid,EN 856 4SP,,,,,
CONTITECH,CONTINENTAL AG,4SH-20,275.0,3989.0,35.1,1.382,30.9,1.217,-50 to 150,210.7,6S - 6 Wire Spiral,SAE 100 R2,,,,,
CONTITECH,CONTINENTAL AG,4SH-24,420.0,6092.0,44.5,1.752,38.9,1.531,-50 to 150,291.2,1 Wire Braid,SAE 100 R15,,,,,
CONTITECH,CONTINENTAL AG,4SH-24,225.0,3263.0,41.1,1.618,36.9,1.453,-40°C to 100°C,71.7,4S - 4 Wire Spiral,ISO 18752 A/D,,,,,
CONTITECH,CONTINENTAL AG,4SH-4,160.0,2321.0,13.2,0.52,6.2,0.244,-40°C to 125°C,253.8,1 Wire Braid,EN 856 4SH,,,,,
CONTITECH,CONTINENTAL AG,4SH-6,215.0,3118.0,17.7,0.697,9.7,0.382,-30 to 125,124.7,2 Wire Braid,SAE 100 R13,,,,,
CONTITECH,CONTINENTAL AG,4SH-8,420.0,6092.0,18.0,0.709,12.2,0.48,-30 to 125,101.7,2 Wire Braid,SAE 100 R2,,,,,
CONTITECH,CONTINENTAL AG,4SP-12,300.0,4351.0,25.5,1.004,17,0.669,-50 to 125,116.4,6S - 6 Wire Spiral,EN 856 4SP,,,,,
CONTITECH,CONTINENTAL AG,4SP-32,380.0,5511.0,61.8,2.433,52.3,2.059,-50 to 120,105.7,1 Wire Braid,ISO 18752 A/D,,,,,
CONTITECH,CONTINENTAL AG,GH-10,225.0,3263.0,23.4,0.921,14.3,0.563,-30 to 100,174.5,2 Wire Braid,SAE 100 R15,,,,,
CONTITECH,CONTINENTAL AG,GH-12,300.0,4351.0,29.9,1.177,19.9,0.783,-50 to 150,267.6,1 Wire Braid,SAE 100 R12,,,,,
CONTITECH,CONTINENTAL AG,GH-16,225.0,3263.0,31.5,1.24,26.7,1.051,-40°C to 100°C,121.0,2 Wire Braid,SAE 100 R1,,,,,
CONTITECH,CONTINENTAL AG,GH-20,250.0,3626.0,36.4,1.433,31.4,1.236,-50 to 150,220.1,1 Wire Braid,ISO 18752 A/D,,,,,
CONTITECH,CONTINENTAL AG,HP-10,380.0,5511.0,24.2,0.953,16.3,0.642,-50 to 100,90.8,4S - 4 Wire Spiral,SAE 100 R1,,,,,
CONTITECH,CONTINENTAL AG,HP-12,450.0,6527.0,28.1,1.106,20,0.787,-30 to 100,240.3,1 Wire Braid,EN 853 1SN,,,,,
CONTITECH,CONTINENTAL AG,HP-6,275.0,3989.0,14.1,0.555,8.8,0.346,-50 to 120,105.6,2 Wire Braid,SAE 100 R15,,,,,
CONTITECH,CONTINENTAL AG,HP-8,380.0,5511.0,21.1,0.831,12.9,0.508,-50 to 120,223.2,2 Wire Braid,EN 856 4SH,,,,,
CONTITECH,CONTINENTAL AG,HP-8,215.0,3118.0,21.3,0.839,12.8,0.504,-50 to 100,153.5,1 Wire Braid,SAE 100 R15,,,,,
CONTITECH,CONTINENTAL AG,M2T-10,250.0,3626.0,21.9,0.862,14.3,0.563,-50 to 120,216.3,4S - 4 Wire Spiral,SAE 100 R1,,,,,
CONTITECH,CONTINENTAL AG,M2T-32,180.0,2611.0,61.5,2.421,53.4,2.102,-50 to 100,173.1,2 Wire Braid,ISO 18752 A/D,,,,,
CONTITECH,CONTINENTAL AG,R1-12,250.0,3626.0,25.3,0.996,20.3,0.799,-30 to 100,295.6,4S - 4 Wire Spiral,SAE 100 R2,,,,,
CONTITECH,CONTINENTAL AG,R1-16,215.0,3118.0,33.4,1.315,25.5,1.004,-50 to 125,290.5,1 Wire Braid,SAE 100 R1,,,,,
CONTITECH,CONTINENTAL AG,R1-16,320.0,4641.0,34.7,1.366,26.9,1.059,-40 to 120,149.2,1 Wire Braid,SAE 100 R1,,,,,
CONTITECH,CONTINENTAL AG,R1-24,300.0,4351.0,43.0,1.693,38.9,1.531,-30 to 150,246.6,6S - 6 Wire Spiral,EN 856 4SP,,,,,
CONTITECH,CONTINENTAL AG,R1-24,200.0,2901.0,45.3,1.783,40.5,1.594,-50 to 150,281.4,1 Wire Braid,EN 853 1SN,,,,,
CONTITECH,CONTINENTAL AG,R1-4,180.0,2611.0,13.7,0.539,5.6,0.22,-30 to 125,120.2,4S - 4 Wire Spiral,EN 853 2SN,,,,,
CONTITECH,CONTINENTAL AG,R2-16,450.0,6527.0,27.3,1.075,22.5,0.886,-30 to 100,279.8,6S - 6 Wire Spiral,EN 853 2SN,,,,,
CONTITECH,CONTINENTAL AG,R2-24,350.0,5076.0,49.4,1.945,39.5,1.555,-50 to 150,112.2,2 Wire Braid,EN 853 1SN,,,,,
CONTITECH,CONTINENTAL AG,R2-32,275.0,3989.0,54.8,2.157,50.5,1.988,-30 to 100,272.4,6S - 6 Wire Spiral,SAE 100 R2,,,,,
CONTITECH,CONTINENTAL AG,XT-10,250.0,3626.0,22.8,0.898,16.6,0.654,-40 to 150,235.5,2 Wire Braid,ISO 18752 A/D,,,,,
CONTITECH,CONTINENTAL AG,XT-16,160.0,2321.0,31.7,1.248,25.9,1.02,-40°C to 125°C,245.0,6S - 6 Wire Spiral,SAE 100 R1,,,,,
CONTITECH,CONTINENTAL AG,XT-20,500.0,7252.0,42.9,1.689,32.9,1.295,-30 to 150,66.1,6S - 6 Wire Spiral,SAE 100 R1,,,,,
CONTITECH,CONTINENTAL AG,XT-4,180.0,2611.0,15.2,0.598,6.8,0.268,-40 to 120,88.3,1 Wire Braid,SAE 100 R15,,,,,
CONTITECH,CONTINENTAL AG,XT-6,250.0,3626.0,14.1,0.555,9.7,0.382,-40°C to 125°C,233.9,4S - 4 Wire Spiral,EN 853 2SN,,,,,
CONTITECH,CONTINENTAL AG,XT-8,300.0,4351.0,19.1,0.752,12.5,0.492,-40°C to 125°C,184.8,6S - 6 Wire Spiral,SAE 100 R15,,,,,
DUNLOP,RUBBER INDUSTRIES,1SN-12,350.0,5076.0,25.7,1.012,20,0.787,-50 to 125,169.0,1 Wire Braid,EN 856 4SP,,,,,
DUNLOP,RUBBER INDUSTRIES,1SN-20,350.0,5076.0,40.1,1.579,32.2,1.268,-50 to 120,180.1,4S - 4 Wire Spiral,EN 856 4SP,,,,,
DUNLOP,RUBBER INDUSTRIES,2SN-12,180.0,2611.0,26.9,1.059,18.8,0.74,-50 to 125,66.2,1 Wire Braid,SAE 100 R13,,,,,
DUNLOP,RUBBER INDUSTRIES,2SN-8,200.0,2901.0,20.9,0.823,13.1,0.516,-40°C to 125°C,87.1,2 Wire Braid,SAE 100 R2,,,,,
DUNLOP,RUBBER INDUSTRIES,4SH-24,250.0,3626.0,40.6,1.598,33.8,1.331,-50 to 100,155.0,2 Wire Braid,SAE 100 R1,,,,,
DUNLOP,RUBBER INDUSTRIES,4SH-8,300.0,4351.0,22.1,0.87,12.4,0.488,-30 to 125,166.7,6S - 6 Wire Spiral,SAE 100 R2,,,,,
DUNLOP,RUBBER INDUSTRIES,4SP-10,300.0,4351.0,21.5,0.846,14.7,0.579,-40°C to 125°C,296.3,6S - 6 Wire Spiral,SAE 100 R13,,,,,
DUNLOP,RUBBER INDUSTRIES,4SP-12,350.0,5076.0,26.0,1.024,19,0.748,-40 to 120,110.7,1 Wire Braid,EN 856 4SH,,,,,
DUNLOP,RUBBER INDUSTRIES,4SP-20,200.0,2901.0,37.9,1.492,28.8,1.134,-50 to 125,190.6,1 Wire Braid,EN 856 4SH,,,,,
DUNLOP,RUBBER INDUSTRIES,4SP-24,160.0,2321.0,43.9,1.728,37.2,1.465,-30 to 100,232.4,6S - 6 Wire Spiral,SAE 100 R15,,,,,
DUNLOP,RUBBER INDUSTRIES,4SP-24,275.0,3989.0,45.9,1.807,37.6,1.48,-30 to 100,122.8,4S - 4 Wire Spiral,SAE 100 R1,,,,,
DUNLOP,RUBBER INDUSTRIES,GH-10,380.0,5511.0,26.8,1.055,16.9,0.665,-30 to 125,199.7,6S - 6 Wire Spiral,EN 856 4SH,,,,,
DUNLOP,RUBBER INDUSTRIES,GH-32,160.0,2321.0,52.8,2.079,46.6,1.835,-50 to 150,82.2,1 Wire Braid,SAE 100 R2,,,,,
DUNLOP,RUBBER INDUSTRIES,GH-6,420.0,6092.0,17.1,0.673,10,0.394,-40 to 120,285.1,2 Wire Braid,EN 853 2SN,,,,,
DUNLOP,RUBBER INDUSTRIES,GH-8,160.0,2321.0,20.1,0.791,13.6,0.535,-40°C to 100°C,184.8,2 Wire Braid,ISO 18752 A/D,,,,,
DUNLOP,RUBBER INDUSTRIES,GH-8,300.0,4351.0,20.8,0.819,11.8,0.465,-30 to 150,118.0,4S - 4 Wire Spiral,SAE 100 R2,,,,,
DUNLOP,RUBBER INDUSTRIES,HP-8,420.0,6092.0,16.2,0.638,12.1,0.476,-40 to 120,186.8,2 Wire Braid,EN 856 4SP,,,,,
DUNLOP,RUBBER INDUSTRIES,M2T-4,350.0,5076.0,11.5,0.453,6.7,0.264,-40°C to 100°C,228.4,2 Wire Braid,ISO 18752 A/D,,,,,
DUNLOP,RUBBER INDUSTRIES,M2T-4,180.0,2611.0,10.6,0.417,6.5,0.256,-30 to 150,149.3,4S - 4 Wire Spiral,SAE 100 R1,,,,,
DUNLOP,RUBBER INDUSTRIES,M2T-8,160.0,2321.0,23.0,0.906,13.1,0.516,-40°C to 100°C,172.5,2 Wire Braid,SAE 100 R1,,,,,
DUNLOP,RUBBER INDUSTRIES,R1-12,200.0,2901.0,21.7,0.854,17.6,0.693,-30 to 150,133.1,4S - 4 Wire Spiral,SAE 100 R12,,,,,
DUNLOP,RUBBER INDUSTRIES,R1-16,250.0,3626.0,31.9,1.256,24.5,0.965,-50 to 100,73.6,6S - 6 Wire Spiral,EN 853 1SN,,,,,
DUNLOP,RUBBER INDUSTRIES,R1-20,250.0,3626.0,37.7,1.484,30.4,1.197,-50 to 125,141.9,6S - 6 Wire Spiral,EN 853 2SN,,,,,
DUNLOP,RUBBER INDUSTRIES,R2-4,200.0,2901.0,11.0,0.433,6.4,0.252,-50 to 150,77.7,6S - 6 Wire Spiral,SAE 100 R1,,,,,
DUNLOP,RUBBER INDUSTRIES,R2-4,215.0,3118.0,13.3,0.524,6.4,0.252,-30 to 150,89.6,6S - 6 Wire Spiral,EN 853 1SN,,,,,
DUNLOP,RUBBER INDUSTRIES,R2-6,380.0,5511.0,16.9,0.665,9,0.354,-40°C to 125°C,197.3,4S - 4 Wire Spiral,EN 853 1SN,,,,,
DUNLOP,RUBBER INDUSTRIES,R2-6,180.0,2611.0,14.1,0.555,9.1,0.358,-30 to 120,265.8,6S - 6 Wire Spiral,EN 856 4SP,,,,,
DUNLOP,RUBBER INDUSTRIES,XT-12,200.0,2901.0,25.7,1.012,19.9,0.783,-30 to 150,217.6,4S - 4 Wire Spiral,EN 853 1SN,,,,,
DUNLOP,RUBBER INDUSTRIES,XT-20,160.0,2321.0,41.3,1.626,31.8,1.252,-30 to 120,138.8,1 Wire Braid,SAE 100 R2,,,,,
DUNLOP,RUBBER INDUSTRIES,XT-20,215.0,3118.0,39.7,1.563,32.9,1.295,-40 to 120,202.4,2 Wire Braid,SAE 100 R2,,,,,
DUNLOP,RUBBER INDUSTRIES,XT-32,200.0,2901.0,57.4,2.26,50.6,1.992,-30 to 125,208.0,4S - 4 Wire Spiral,SAE 100 R1,,,,,
DUNLOP,RUBBER INDUSTRIES,XT-8,200.0,2901.0,17.7,0.697,11.5,0.453,-40 to 150,54.1,2 Wire Braid,SAE 100 R12,,,,,
EATON,DANFOSS,1SN-10,450.0,6527.0,21.0,0.827,14.1,0.555,-50 to 125,285.9,2 Wire Braid,SAE 100 R12,,,,,
EATON,DANFOSS,1SN-12,200.0,2901.0,24.8,0.976,17.9,0.705,-40°C to 125°C,79.8,1 Wire Braid,SAE 100 R2,,,,,
EATON,DANFOSS,1SN-16,225.0,3263.0,29.6,1.165,23.1,0.909,-50 to 150,280.8,2 Wire Braid,SAE 100 R15,,,,,
EATON,DANFOSS,1SN-20,250.0,3626.0,37.4,1.472,29.4,1.157,-50 to 100,132.8,6S - 6 Wire Spiral,EN 856 4SP,,,,,
EATON,DANFOSS,1SN-24,215.0,3118.0,43.5,1.713,34.6,1.362,-40 to 120,126.9,6S - 6 Wire Spiral,SAE 100 R15,,,,,
EATON,DANFOSS,1SN-32,300.0,4351.0,59.1,2.327,52.8,2.079,-40 to 120,138.5,2 Wire Braid,EN 856 4SH,,,,,
EATON,DANFOSS,1SN-6,320.0,4641.0,16.6,0.654,9.7,0.382,-50 to 125,239.3,6S - 6 Wire Spiral,EN 856 4SP,,,,,
EATON,DANFOSS,2SN-10,450.0,6527.0,21.0,0.827,16.5,0.65,-50 to 100,258.7,1 Wire Braid,SAE 100 R1,,,,,
EATON,DANFOSS,2SN-16,450.0,6527.0,33.6,1.323,26.1,1.028,-40°C to 100°C,190.3,4S - 4 Wire Spiral,SAE 100 R2,,,,,
EATON,DANFOSS,4SH-16,180.0,2611.0,34.0,1.339,26.1,1.028,-40 to 120,102.0,2 Wire Braid,EN 853 2SN,,,,,
EATON,DANFOSS,4SH-32,250.0,3626.0,63.0,2.48,53.1,2.091,-50 to 100,178.1,2 Wire Braid,EN 856 4SP,,,,,
EATON,DANFOSS,4SH-6,300.0,4351.0,14.8,0.583,8.9,0.35,-40 to 120,142.7,1 Wire Braid,EN 853 1SN,,,,,
EATON,DANFOSS,4SP-16,300.0,4351.0,31.5,1.24,25,0.984,-50 to 150,260.5,6S - 6 Wire Spiral,SAE 100 R15,,,,,
EATON,DANFOSS,4SP-32,350.0,5076.0,61.4,2.417,52.7,2.075,-30 to 125,74.7,4S - 4 Wire Spiral,SAE 100 R2,,,,,
EATON,DANFOSS,4SP-4,275.0,3989.0,12.9,0.508,6.4,0.252,-50 to 120,148.6,6S - 6 Wire Spiral,SAE 100 R12,,,,,
EATON,DANFOSS,4SP-4,300.0,4351.0,11.1,0.437,6.4,0.252,-30 to 100,230.2,4S - 4 Wire Spiral,SAE 100 R15,,,,,
EATON,DANFOSS,4SP-6,350.0,5076.0,19.6,0.772,10.1,0.398,-50 to 125,72.2,4S - 4 Wire Spiral,SAE 100 R12,,,,,
EATON,DANFOSS,4SP-8,420.0,6092.0,17.3,0.681,13.2,0.52,-50 to 120,91.1,6S - 6 Wire Spiral,SAE 100 R2,,,,,
EATON,DANFOSS,GH-20,500.0,7252.0,39.4,1.551,31.4,1.236,-30 to 120,291.3,1 Wire Braid,SAE 100 R1,,,,,
EATON,DANFOSS,GH-20,500.0,7252.0,37.8,1.488,29.1,1.146,-40°C to 100°C,183.4,1 Wire Braid,SAE 100 R12,,,,,
EATON,DANFOSS,GH-4,275.0,3989.0,11.2,0.441,6.7,0.264,-40°C to 125°C,202.3,4S - 4 Wire Spiral,ISO 18752 A/D,,,,,
EATON,DANFOSS,GH-8,215.0,3118.0,21.1,0.831,13.3,0.524,-50 to 120,111.1,6S - 6 Wire Spiral,SAE 100 R2,,,,,
EATON,DANFOSS,HP-20,500.0,7252.0,39.3,1.547,33.1,1.303,-30 to 150,62.5,6S - 6 Wire Spiral,EN 853 2SN,,,,,
EATON,DANFOSS,HP-24,160.0,2321.0,45.7,1.799,40.3,1.587,-40°C to 125°C,60.9,2 Wire Braid,EN 856 4SP,,,,,
EATON,DANFOSS,HP-32,200.0,2901.0,53.7,2.114,45.9,1.807,-40°C to 100°C,54.0,4S - 4 Wire Spiral,ISO 18752 A/D,,,,,
